names,profile_url,profile_heading
"Gail Gessert, Ph.D.",https://www.linkedin.com/in/gail-gessert-ph-d-3086353?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAACgjngBJl2JfD5yO0V35kXFdf9sZv7C1Yo,Chief Executive Officer (CEO)
Bri Lempelius,https://www.linkedin.com/in/bri-lempelius?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADL1juwBPD0fbkuVCXM3o47IKPbUvfgnCJk,Chief Executive Officer at Data Recruit
Gary Burnison,https://www.linkedin.com/in/gary-burnison-9144957a?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABDND-AB-xP5oQmwa8KZYf39LbSEQKHQ8qU,Chief Executive Officer at Korn Ferry
Raj J.,https://www.linkedin.com/in/rajjoseph?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAACIEr4BDH8o80ThBLitTP7APdU3noiepFk,Chief Executive Officer at DQLabs.ai
Aman Bhutani,https://www.linkedin.com/in/amanbhutani?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAC1_0BRVS6RJ2Wq6N6uYhm9RZoKvdRBfU,Chief Executive Officer at GoDaddy
Eben Russell,https://www.linkedin.com/in/eben-russell-0985ba50?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAArEevQBeyINuy_Qzzheoy7F26Z3gr44uwk,Chief Executive Officer
Andrey Korobitsyn,https://www.linkedin.com/in/andrey-korobitsyn-12659515?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMch24BUCHwZYCbhSGD8622qlMHd74P6Nk,Chief Executive Officer at Neuton
Leila Hormozi,https://www.linkedin.com/in/leila-hormozi-32a580a5?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABZU1dIBQs0EayRru0YoZ-Ro_0mXO5dZTC4,Chief Executive Officer of Acquisition.com – We partner with companies above $10M+ in revenue and triple their business.
Ron Johnson,https://www.linkedin.com/in/ron-johnson-enjoy?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABkg8nkBWBf6B-QM8SDj_KQ_2Pg2IvyABCE,Chief Executive Officer at Enjoy Inc.
Revathi Advaithi,https://www.linkedin.com/in/revathi-advaithi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAyMCUB9wsEIvtCdiup2Qu7U5sITwQT5Qw,Chief Executive Officer at Flex
Amit Sinha,https://www.linkedin.com/in/amitsinha?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAABRj7IByH2876tN5nCALgwoBA8yW215QXY,"Chief Executive Officer, DigiCert | Board Member Zscaler, DataRobot"
Rafal Janczyk,https://www.linkedin.com/in/rafal-janczyk-695658?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAYltEBeqyIWLKecc5EYah1P6SovVSrb88,Chief Executive Officer at Digica
Chrissy Taylor,https://www.linkedin.com/in/chrissy-taylor?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAMHNmIBvCRMfJ4HdQeAOs6rRwwHG6_J4S4,President and Chief Executive Officer at Enterprise Holdings
Chintan Shah,https://www.linkedin.com/in/chintan-shah-59176?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAACYr0B2JO1qGhibLLAPdiXKUuZTYA0VY0,Chief Executive Officer at Brainvire
Rico Dinolfi,https://www.linkedin.com/in/rico-dinolfi-71343013?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAK7lv8BUVRM91xzzlXKGJSR_9IAM4MB5rg,Chief Executive Officer
Hafize Gaye Erkan,https://www.linkedin.com/in/hafize-gaye-erkan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAaStDsBEUVzC9zqaERs1p5jnZO6PneOzvs,Chief Executive Officer at Greystone
Walt Bettinger,https://www.linkedin.com/in/waltbettinger?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAekNPUBwZH5b0VQE0yjvdc6nB-VYT7Fp5s,Chief Executive Officer and Co-Chairman of the Board of Directors at The Charles Schwab Corporation
Julie Sweet,https://www.linkedin.com/in/julie-sweet?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABg8fh0BJ3OsazfASSRaMuW2LPDIJjjyMRQ,Chair and Chief Executive Officer at Accenture
Rahul Pawar,https://www.linkedin.com/in/rahuljpawar?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAALQtzIB6_6G7Tn0Uh1S-BHNLl3BMiW5X6Y,Founder and Chief Executive Officer at MediSponsor. INC
Sarah Robb O'Hagan,https://www.linkedin.com/in/sarah-robb-o-hagan-249130?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAEwFkBRXzhhphw5cu2Zk8bR45XtpAwHAg,Chief Executive Officer at EXOS
